player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Sandro Mamukelashvili,mamuksa01,2023,1407,660,-2.659236045017159,-2.97962924237319,-5.638865287390349,-1.83293802265502,-2.695746026966894,-4.528684049621914,-2.604722514200831,-3.059309586520365,-5.664032100721196,-.9777873112593597,-.9777873112593597,0,-2.019460442573366,-3.249541440887453,-5.269001883460819,.1233694839056073
Terance Mann,mannte01,2023,4137,2005,-.2298699911662288,-.5849007879610909,-.8147707791273197,2.128405586228762,-.500056379509595,1.628349206719167,.2473359898619676,-.6009721063130706,-.353636116451103,2.450157166981525,1.956021517292783,.4941356496887413,-.3919293399975744,-.5241996979410797,-.9161290379386539,-.7534237377111196
Tre Mann,manntr01,2023,2533,1183,-1.487824169726591,-1.086489004477067,-2.574313174203659,-1.945421606420691,1.512573484616221,-.4328481218044704,-1.675503138114982,-.6215456191077302,-2.297048757222712,.2729297454172046,.2729297454172046,0,-1.414699957615793,-.7908052885909785,-2.205505246206772,-.1685378767269013
Boban Marjanovic,marjabo01,2023,357,171,.4460985460126399,-.3177741002445784,.1283244457680616,1.938191951735293,8.732063217204303,10.6702551689396,.8732701546171198,1.647262644600662,2.520532799217782,.4609844797724958,.4609844797724958,0,.4351205310575089,-1.747102014751128,-1.311981483693619,.2548598525258665
Lauri Markkanen,markkla01,2023,4786,2273,3.566214455912784,.4838176907299254,4.050032146642708,2.255103807560491,2.825767117969561,5.080870925530052,3.508344554915764,1.025981211464521,4.534325766380285,8.474769518288703,8.474769518288703,0,3.304979232701317,.5186559216890823,3.823635154390399,.3255817511431437
Naji Marshall,marshna01,2023,3774,1792,-.6919344189493126,-.66798357689419,-1.359917995843503,-1.687028092840937,.1606073531793996,-1.526420739661537,-.9415246944797331,-.5525678029301029,-1.494092497409836,1.147690643761092,1.147690643761092,0,-1.646004379840077,-.9721756565360747,-2.618180036376152,-.0490898440712931
Caleb Martin,martica02,2023,5238,2584,-1.506448789860797,.9681664179368247,-.5382823719239728,.7726680633833164,2.270209719223438,3.042877782606755,-1.134369394920872,1.277325428921018,.1429560340001466,3.862433177874636,1.903326478981817,1.959106698892819,-1.129995433920935,1.879993353012921,.7499979190919865,-.7264662222375499
Cody Martin,martico01,2023,291,134,-.5458962570558691,-2.275486333798356,-2.821382590854225,-.0204406541880932,-2.170679706976494,-2.191120361164588,-.4283829404327595,-2.380620380796966,-2.809003321229726,-.0039998759871979,-.0039998759871979,0,-1.154582546385025,-1.588936134389131,-2.743518680774156,-.850541616547112
Kenyon Martin Jr.,martike04,2023,4848,2292,-1.249021142258185,-3.315154337659172,-4.564175479917357,.8271613880178937,-2.116230502982912,-1.289069114965019,-.8651847964814443,-3.220013958007212,-4.085198754488657,-1.561972566143321,-1.561972566143321,0,-1.138939018984581,-3.777914877443652,-4.916853896428234,.0400789009149658
Tyrese Martin,martity01,2023,137,66,-5.011228459716163,-5.547859035130115,-10.55908749484628,-2.366041227841501,-.6971447427506616,-3.063185970592162,-4.760373383377643,-4.827069528598248,-9.587442911975891,-.2275033866604355,-.2275033866604355,0,-3.732891891293512,-6.275438111893363,-10.00833000318688,-1.199077909610442
Garrison Mathews,mathega01,2023,1458,686,.6205800714213031,3.40583562761426,4.026415699035563,-5.868660962690904,3.387886557794154,-2.48077440489675,-.6897776333834084,3.668291926447862,2.978514293064454,2.013716379547022,2.013716379547022,0,-.6238618307984999,1.987732207778274,1.363870376979774,.4454690608443727
Bennedict Mathurin,mathube01,2023,4780,2222,-.4246068959830219,-1.803597684110809,-2.228204580093831,-2.740735695672573,.1327402112777138,-2.60799548439486,-.9311904882613931,-1.470242155036063,-2.401432643297456,.3976441611886109,.3976441611886109,0,-.548832682855517,-1.76935148638771,-2.318184169243227,.6349282595851161
Wesley Matthews,matthwe02,2023,1874,861,-2.490464687731478,-.4261960756905869,-2.916660763422065,-1.337404674505879,1.232216565974668,-.1051881085312106,-2.397175245714498,-.1597554457764825,-2.55693069149098,.0849584973887013,.0754008060489543,.0095576913397469,-2.542970539170544,-.8211190878760907,-3.364089627046635,-.2723384496341207
Tyrese Maxey,maxeyty01,2023,4918,2439,2.32217416697334,-.8792730239064075,1.442901143066933,2.555451601030752,.3392570478419233,2.894708648872675,2.468822376028478,-.678941975106307,1.78988040092217,5.667167902761935,4.004457417249335,1.6627104855126,2.925155416545398,-.1607407097779992,2.7644147067674,-1.150328708630541
Skylar Mays,mayssk01,2023,418,189,2.523950354347025,-3.918752813998812,-1.394802459651787,-1.283613925543737,-6.363593796016645,-7.647207721560382,1.911897966208346,-4.597802521135133,-2.685904554926787,.0061773587627032,.0061773587627032,0,1.03410112242148,-3.911188470408272,-2.877087347986791,-.0526504495423709
Miles McBride,mcbrimi01,2023,1620,780,-2.234382979729445,1.153913490209206,-1.080469489520239,-1.559241388101712,4.405917374573277,2.846675986471566,-2.275898447540885,1.897294326943737,-.3786041205971473,.9358987979875117,.8922747137780309,.0436240842094808,-1.810747180344546,1.705932071914567,-.1048151084299789,-.7983351507411959
Mac McClung,mccluma01,2023,92,41,2.817930586083417,-1.178241681181568,1.639688904901849,2.93600505859517,14.80849913053745,17.74450418913262,2.937758590435532,2.094880754048234,5.032639344483766,.1636843036069751,.1636843036069751,0,1.870435459234268,-1.659110990149074,.2113244690851941,.5490009083260309
CJ McCollum,mccolcj01,2023,5497,2649,.79408689140426,-.7028612434666586,.0912256479376015,2.913810142455008,-3.653843817865607,-.7400336754105989,1.295480895067766,-1.381713496838448,-.0862326017706818,3.58630530445728,3.58630530445728,0,1.35916205768396,-1.029570102680604,.3295919550033555,-.3877140417906567
T.J. McConnell,mccontj01,2023,3305,1526,1.10696551811685,1.728253581574901,2.835219099691752,-2.818886748162685,1.785769321068281,-1.033117427094404,.3621617183412049,1.888667736639874,2.250829454981079,3.905134396306123,3.905134396306123,0,.7171845003317632,.9760392790925546,1.693223779424318,.3023401540041301
Jalen McDaniels,mcdanja01,2023,4282,2015,-1.87212341177374,.5543970207705538,-1.317726391003186,.8937007464145369,.0481889639952615,.9418897104097984,-1.366511072000461,.4890235194100498,-.877487552590411,1.94817646789141,1.670276136797544,.2779003310938665,-1.529576015148367,.8247537381785844,-.7048222769697823,.1167734629967877
Jaden McDaniels,mcdanja02,2023,5094,2416,-1.635754623540858,1.261934667529586,-.3738199560112712,2.05740289888428,.9387964143310997,2.996199313215379,-.9538061713944386,1.255832119012332,.3020259476178935,3.763765168725238,3.763765168725238,0,-1.545003762014572,1.760812835866586,.2158090738520135,.0457747146402838
Doug McDermott,mcderdo01,2023,2858,1314,-1.174275632830083,-4.43354534942079,-5.607820982250872,-1.270147152792088,-2.070585341896411,-3.340732494688498,-1.204782135645106,-4.163458357736214,-5.36824049338132,-1.764922986365916,-1.764922986365916,0,-1.067701152658249,-4.931535033518161,-5.999236186176411,.5547461076952963
JaVale McGee,mcgeeja01,2023,756,355,-4.801080156145717,-.7738890341846006,-5.574969190330318,-4.882603937887295,-.3151904795341067,-5.197794417421402,-5.146285753228194,-.7048425944614338,-5.851128347689629,-.567232455833683,-.567232455833683,0,-4.912516631017197,-1.64310513723304,-6.555621768250237,.9978729908275594
Bryce McGowens,mcgowbr01,2023,1689,787,-3.513881546951134,-1.06860768189381,-4.582489228844944,-5.354986603106322,-.3730863076736102,-5.728072910779932,-4.053116121993758,-.9666670855606475,-5.019783207554406,-.914445638387032,-.914445638387032,0,-4.665271745461506,-2.327186954977273,-6.992458700438779,.3394979663807557
Rodney McGruder,mcgruro01,2023,1103,524,.6021420112728677,-.2668616330963667,.335280378176501,1.49159742570262,-.8330959071445723,.6585015185580476,.8662120034775507,-.33399516589065,.5322168375869006,.8768868866045182,.8768868866045182,0,.0935792370939193,-1.052490131800753,-.9589108947068335,-.0686383351951726
Jordan McLaughlin,mclaujo01,2023,1534,692,-.1988710429764829,-.8530219189353749,-1.051892961911858,-.7294050476449265,5.574357805235606,4.844952757590679,-.3083143898105953,.4267963233665377,.1184819335559423,1.001695253621292,1.198933059139869,-.1972378055185772,-.9217353216142244,-.1934116128263887,-1.115146934440613,.2324497345375252
De'Anthony Melton,meltode01,2023,4918,2424,.2382573511015599,1.675085958118607,1.913343309220166,-1.415787320946986,-.2367616509796183,-1.652548971926604,-.1235329109480166,1.338988077014721,1.215455166066704,4.948967769836106,4.091907472933309,.8570602969027963,.6208021197329765,2.581644616241015,3.202446735973992,.1947395868712704
Sam Merrill,merrisa01,2023,121,59,1.112423242213646,-1.372402409117901,-.2599791669042553,-5.928827924437899,3.178191067434516,-2.750636857003383,-.3305901729126111,-.5746426173011868,-.905232790213798,.0555012290277572,.0555012290277572,0,2.379957393925332,-.7043613759519548,1.675596017973377,-.0537734925417379
Chimezie Metu,metuch01,2023,1533,695,-2.028438393469031,.1565037052197108,-1.87193468824932,.0973968467659194,4.76733503459073,4.864731881356649,-1.748415665555666,1.173630675538713,-.5747849900169528,.777242212892625,.7511004480599285,.0261417648326965,-1.161493399327448,.0719953576560199,-1.089498041671428,.2992664219549364
Khris Middleton,middlkh01,2023,2129,974,2.649932024546201,-.585697780733746,2.064234243812455,1.372000529618653,2.872817374378027,4.24481790399668,2.530088924248113,.0721048531067442,2.602193777354858,2.708290450632197,2.227438755954427,.4808516946777701,2.816188093446479,-1.260470001145743,1.555718092300736,1.294905945359033
Patty Mills,millspa02,2023,1232,572,-.7090013990060847,-2.906703005081676,-3.615704404087761,-1.926311434888638,-4.520384929504523,-6.446696364393161,-1.006189227514968,-3.437075270360248,-4.443264497875216,-.4954397904519943,-.5025214862966345,.0070816958446403,-.8096645212895988,-3.452759215037249,-4.262423736326848,.653374984045044
Shake Milton,miltosh01,2023,3353,1588,-.1995865153797212,-2.370295683896487,-2.569882199276209,-.0679231292574083,.9707958650594858,.9028727358020774,-.2257460521032969,-1.819310760288672,-2.045056812391969,.5800624074506106,.4906221948787203,.0894402125718903,-.6752344978031579,-2.641868912883578,-3.317103410686736,-.0021142382695502
Justin Minaya,minayju01,2023,195,89,-7.487463034878645,-7.045740162857301,-14.53320319773595,-1.996779112458012,-3.891019608646253,-5.887798721104265,-6.778246981100051,-6.723264436428452,-13.5015114175285,-.48970578007955,-.48970578007955,0,-7.37456668560398,-5.4027447259081,-12.77731141151208,.3108012160013448
Josh Minott,minotjo01,2023,233,102,-.924015493300633,.4547228517205592,-.4692926415800739,1.244497646699508,.6017982273921214,1.84629587409163,-.5008028662776284,.5290789192847638,.0282760530071354,.1432806629172709,.1589228033292393,-.0156421404119684,-.2269953761922212,-.149479633658619,-.3764750098508403,.87467335857708
Davion Mitchell,mitchda01,2023,3388,1587,-2.048520608823392,2.161313447437154,.1127928386137622,-1.87434149177742,2.477523184289999,.6031816925125791,-2.157588593569288,2.379668655078906,.2220800615096179,2.395134129688212,2.13220925795375,.2629248717344624,-2.135572744148465,1.719503014599883,-.4160697295485824,-.7354966698447766
Donovan Mitchell,mitchdo01,2023,5302,2639,6.173995465689208,-1.045837486648405,5.128157979040801,2.915003755146213,-.9017537045881525,2.013250050558061,5.843516481672387,-1.12463123363153,4.718885248040856,10.07845637175438,9.455164532692166,.6232918390622153,6.111141558127833,-.0753466885683514,6.035794869559481,.104602264960939
Evan Mobley,mobleev01,2023,5852,2903,-2.185360065416751,1.757917156220572,-.4274429091961803,1.227097465524901,.9288910238652826,2.155988489390184,-1.619961437405832,1.623306819344665,.0033453819388324,4.054508032733638,3.851346343635806,.2031616890978316,-1.029139547224376,2.346534971537685,1.317395424313309,-.6320224520832393
Isaiah Mobley,mobleis01,2023,171,84,-.4572541425093148,2.528033508717865,2.07077936620855,-1.33662540099614,12.99995034021051,11.66332493921437,-.6962474737040181,4.792696726225661,4.096449252521643,.2899684916802877,.2899684916802877,0,.1708592107826516,3.175033418092542,3.345892628875195,-1.186236817402415
Chima Moneke,monekch01,2023,18,8,-14.15986499207089,-10.84644696200915,-25.00631195408004,-25.04925287307426,-9.336168177517996,-34.38542105059226,-17.38698196040112,-11.15857302860619,-28.54555498900731,-.1104377145609095,-.1104377145609095,0,-12.01127377978584,-10.84513308558971,-22.85640686537555,4.937619796902148
