player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
DeAndre Jordan,jordade01,2023,RS,DEN,1223,586,-4.744018151041437,-1.389592689615212,-6.133610840656649,-4.249474127539978,-3.605208978581126,-7.854683106121104,-4.934217171385878,-1.950943846511414,-6.885161017897292,-1.240837590393101,-1.240837590393101,0,-4.744472785581452,-2.218913060278155,-6.963385845859608,.3689119550716374
Cory Joseph,josepco01,2023,RS,DET,2543,1227,.1791319456250602,-1.802768107377401,-1.623636161752341,.3125118882686983,.1044537132375462,.4169656015062445,.2596249487416145,-1.453314285502591,-1.193689336760977,.9610852897138404,.9610852897138404,0,-.473591374240718,-1.883070325448785,-2.356661699689503,-1.366383588233512
Nikola Jovic,jovicni01,2023,PO,MIA,22,10,6.055177648780908,-3.708738356549559,2.346439292231349,.05867642733792,-2.68938819076439,-2.63071176342647,5.088674614649986,-3.77218916766617,1.316485446983816,.0214056569243991,0,.0214056569243991,3.484800648715808,-10.54116652814209,-7.056365879426284,.0359189263308299
Nikola Jovic,jovicni01,2023,RS,MIA,422,204,-3.540458057489497,-.8773054490560404,-4.417763506545538,-3.604046970472665,-.8476760664653877,-4.451723036938053,-3.756886437128434,-.945133567551111,-4.702020004679545,-.2048024803960813,-.2048024803960813,0,-3.004257472710874,-.3879063577554092,-3.392163830466283,.8121084640128724
Johnny Juzang,juzanjo01,2023,RS,UTA,508,232,-4.660093245027625,-4.14652205248456,-8.806615297512185,-8.441853517700345,-2.899613332733758,-11.3414668504341,-5.740934777773248,-4.109708417325789,-9.850643195099037,-.8332685173570048,-.8332685173570048,0,-4.662708544308934,-4.267039838190607,-8.929748382499541,-.8657435840560405
Mfiondu Kabengele,kabenmf01,2023,RS,BOS,71,36,-4.366591808835385,-5.454317833418305,-9.820909642253689,-.4414316670771468,-7.672439379379352,-8.113871046456499,-3.867408081235847,-6.329178582359691,-10.19658666359554,-.1350119548598352,-.1350119548598352,0,-1.96910824440117,-5.497505163408063,-7.466613407809232,-1.299553489639758
Frank Kaminsky,kaminfr01,2023,RS,ATL,376,176,-1.673480929518389,-7.099284311232256,-8.772765240750644,-1.691452426815494,-2.980730268983429,-4.672182695798922,-1.789851829199554,-6.654367736995229,-8.444219566194782,-.5082038555495961,-.5082038555495961,0,-1.533839810381638,-6.266388485150541,-7.800228295532179,-.61386418805943
Frank Kaminsky,kaminfr01,2023,RS,HOU,123,59,-.1707522359983796,5.746203143170707,5.575450907172327,-2.162283963169694,-1.710363216506369,-3.872647179676063,-.5349632670406363,4.65676267378814,4.121799406747504,.2039643429138309,.2039643429138309,0,.6762635014269271,.2441056099412953,.9203691113682224,-1.409775585914432
Trevor Keels,keelstr01,2023,RS,NYK,19,8,-12.5152356080777,-11.5661814030841,-24.0814170111618,-39.69719560294669,-19.75049189714674,-59.44768750009342,-19.09436913422061,-14.0963511738846,-33.19072030810521,-.1247780250503567,-.1247780250503567,0,-13.83841750327673,-14.61131984856141,-28.44973735183815,.4315133651877012
Luke Kennard,kennalu01,2023,PO,MEM,227,107,4.432154678038342,4.687276554517538,9.119431232555879,17.60472696959736,7.635627484285796,25.24035445388315,7.538330398582591,5.567552655268797,13.10588305385139,.8872485880179968,0,.8872485880179968,5.991158219119368,3.369865521896055,9.361023741015423,-.6053177027656241
Luke Kennard,kennalu01,2023,RS,LAC,1506,725,-1.73250385427671,-1.049943567792909,-2.782447422069619,-.1402569778123446,4.541899581272082,4.401642603459737,-1.506178812786718,.0497751693973354,-1.456403643389383,.4782238052256801,.4782238052256801,0,-1.967416529609586,-.6796544630930147,-2.647070992702601,-.0571688835204762
Luke Kennard,kennalu01,2023,RS,MEM,1242,590,2.984211266424583,-1.818381126327576,1.165830140097007,6.014321431994959,-2.528291588596938,3.486029843398021,3.799013624756666,-2.130296185640535,1.668717439116131,1.319909893838164,1.319909893838164,0,2.407811302357096,-1.442753672671053,.9650576296860431,-.7742860779528833
Walker Kessler,kesslwa01,2023,RS,UTA,3600,1703,.0646695300644924,3.226955325841653,3.291624855906146,1.287517804356604,1.458048375121966,2.74556617947857,.3022927120478401,3.095215203117829,3.397507915165669,5.31545380439759,5.31545380439759,0,-.2945563806494513,2.155500830090046,1.860944449440595,-.4900840310802403
Braxton Key,keybr01,2023,RS,DET,21,9,2.488853450691813,-1.296216394791996,1.192637055899817,-15.91020376690479,2.529269863726195,-13.38093390317859,-1.144495903134822,-.4717928736188199,-1.616288776753642,.0052370736694277,.0052370736694277,0,-1.937258103459362,-3.894296543446576,-5.831554646905937,.6068408571316878
Louis King,kinglo02,2023,RS,PHI,63,29,3.757754482103989,-8.707335692462026,-4.949581210358037,10.40940221142469,-4.148495344355137,6.260906867069549,5.301564746454043,-8.351433890302429,-3.049869143848387,-.0044292672450796,-.0044292672450796,0,3.741819173786728,-4.722571193886803,-.9807520201000752,-.1714526551268406
Corey Kispert,kispeco01,2023,RS,WAS,4370,2093,-.409048540597276,-1.703265594585329,-2.112314135182605,-.4889965110284338,-2.991017663418262,-3.480014174446696,-.4453294928986196,-2.066892254303204,-2.512221747201823,.2530430614766139,.2530430614766139,0,-.585983997927069,-1.830340315802708,-2.416324313729777,-.3450892573776101
Maxi Kleber,klebima01,2023,RS,DAL,1915,930,-2.931635525146771,-.2241348685598833,-3.155770393706655,-2.465736570963167,.4515056320261436,-2.014230938937023,-3.035902458789237,-.0731202774184211,-3.109022736207658,-.1694067192697026,-.1694067192697026,0,-2.881669594160582,-.158312837233753,-3.039982431394335,-.5596458816564951
Nathan Knight,knighna01,2023,PO,MIN,11,5,-24.55481512569839,10.23778312064693,-14.31703200505145,-12.77458263215285,-1.829791606554715,-14.60437423870757,-23.54101211310046,8.478697495139619,-15.06231461796085,-.0328580014858939,0,-.0328580014858939,-16.19231454622929,3.373712379393664,-12.81860216683562,1.410438615229836
Nathan Knight,knighna01,2023,RS,MIN,644,291,-1.705400397179899,-1.856125839120472,-3.56152623630037,-2.73285011742369,-2.077219976885126,-4.810070094308816,-2.014267046681649,-2.03344315317453,-4.047710199856178,-.1936696628641547,-.1936696628641547,0,-2.901558919524112,-2.54514199488873,-5.446700914412842,.5243785800716536
Kevin Knox II,knoxke01,2023,RS,POR,784,359,-1.932772079621937,-5.42211887689165,-7.354890956513588,-4.134412161109326,-4.074674198603907,-8.209086359713233,-2.47491311264125,-5.409126492192785,-7.884039604834035,-.9431051520831412,-.9431051520831412,0,-1.83935741656741,-6.37075820717854,-8.210115623745949,.294658912140447
Kevin Knox II,knoxke01,2023,RS,DET,1278,593,-2.356360403831356,-1.575571389794521,-3.931931793625878,-3.681144444276133,1.951050884917847,-1.730093559358286,-2.732224606907995,-.8720812822743013,-3.604305889182296,-.2598826639236937,-.2598826639236937,0,-2.605682290854058,-2.179746056610288,-4.785428347464346,.5520254366002283
Christian Koloko,kolokch01,2023,RS,TOR,1680,802,-3.002557028752848,1.347739199600393,-1.654817829152456,-1.175574844976733,5.632603545823217,4.457028700846484,-2.831214280526593,2.313718275201407,-.517496005325186,.9119973311658475,.9119973311658475,0,-3.238832510957356,1.575062632023645,-1.663769878933711,-.1656875540225843
John Konchar,konchjo01,2023,PO,MEM,106,49,-4.362332118307765,4.380149865884023,.0178177475762586,-10.75496107869841,8.046814486339338,-2.708146592359073,-5.875516105365632,5.374210108473413,-.5013059968922189,.0580622772497274,0,.0580622772497274,-5.615632544828302,2.096374818786312,-3.51925772604199,.1398519905239655
John Konchar,konchjo01,2023,RS,MEM,3199,1494,-1.18506492957826,3.232437357768347,2.047372428190087,1.040783628941907,2.657906229086358,3.698689858028265,-.7872079251773233,3.260838916228267,2.473630991050944,3.982934029629305,3.982934029629305,0,-.8918377496267904,3.720782888980452,2.828945139353661,.0324428855095514
Furkan Korkmaz,korkmfu01,2023,PO,PHI,22,11,-6.532038228006165,-10.10261327344961,-16.63465150145577,-5.078671696818181,-4.712343959725736,-9.791015656543916,-6.60448759705062,-9.624655508438179,-16.2291431054888,-.0795546782966067,0,-.0795546782966067,-3.530058632693175,-11.8081042131027,-15.33816284579587,1.935676329058581
Furkan Korkmaz,korkmfu01,2023,RS,PHI,758,353,-2.336517131627228,-.5364355730919447,-2.872952704719172,-4.501104578697743,3.752570944610006,-.7485336340877367,-2.983260916238174,.3180385359542218,-2.665222380283952,.0152542108906388,.0152542108906388,0,-3.178672268151153,-1.691080359197328,-4.869752627348481,-.0944607145392527
Luke Kornet,kornelu01,2023,PO,BOS,62,30,7.391954066573557,1.697182013441422,9.089136080014979,6.406139058879472,-.9421166928551284,5.464022366024344,7.626631660015226,1.211141915864554,8.83777357587978,.1819353828923236,0,.1819353828923236,5.940832188978245,.7287589425224139,6.669591131500659,-.532146468100579
Luke Kornet,kornelu01,2023,RS,BOS,1694,804,-.5007938089442182,2.29400463483265,1.793210825888432,-.7396596533570623,1.356714858834044,.6170552054769816,-.619898845746914,2.186971295029884,1.56707244928297,1.760593721184743,1.760593721184743,0,-.8350054732919164,1.432323030739213,.5973175574472963,-.5855206390873027
Vit Krejci,krejcvi01,2023,RS,ATL,347,165,-2.052391831379905,-1.942968563175804,-3.99536039455571,-2.178265240943746,1.005032394871747,-1.173232846071999,-2.210937583508562,-1.419087160981154,-3.630024744489717,-.0733597504936487,-.0733597504936487,0,-1.583223415212366,-3.158021754647148,-4.741245169859514,-.9855525984055815
Jonathan Kuminga,kuminjo01,2023,PO,GSW,124,61,-1.686566650303164,-2.377771170685153,-4.064337820988317,-7.891199518860263,-10.33488121577622,-18.22608073463648,-3.058264036745514,-4.242507806688203,-7.300771843433717,-.1451196254355878,0,-.1451196254355878,-3.669880376535297,-6.071540083767188,-9.741420460302486,-.6413086629121855
Jonathan Kuminga,kuminjo01,2023,RS,GSW,2997,1394,-2.574058353773375,.5069767104960151,-2.06708164327736,-1.924284431937283,-1.078219614331216,-3.002504046268499,-2.605216300756929,.1919755689335698,-2.413240731823359,.2399012081319058,.2399012081319058,0,-2.154984146851787,-.0981375287901254,-2.253121675641912,.1650637833687769
Kyle Kuzma,kuzmaky01,2023,RS,WAS,4683,2239,-.9845422376750365,.0012720528269929,-.9832701848480436,-.8301708127375966,2.414324964554222,1.584154151816625,-1.017537173058199,.5137983825823669,-.5037387904758319,2.573948253592112,2.573948253592112,0,-.4958647062947304,.0549765793234696,-.4408881269712608,.3130759954502525
